question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,difficulty
1,"Given that 20% of a certain number is 50, find 40% of that number.",200,100,150,250,A,"If 20% is 50, then 10% is 25. So, 40% is 4 * 25 = 100.",Percentages,Easy
2,"If 20% of a number is 50, what is 40% of that number?",100,150,250,200,A,"If 20% is 50, then 10% is 25. So, 40% is 4 * 25 = 100.",Percentages,Easy
3,"If 20% of a number is 50, what is 40% of that number?",150,200,100,250,A,"If 20% is 50, then 10% is 25. So, 40% is 4 * 25 = 100.",Percentages,Easy
4,"If 20% of a number is 50, what is 40% of that number?",150,250,100,200,A,"If 20% is 50, then 10% is 25. So, 40% is 4 * 25 = 100.",Percentages,Easy
5,"If 20% of a number is 50, what is 40% of that number?",100,250,200,150,A,"If 20% is 50, then 10% is 25. So, 40% is 4 * 25 = 100.",Percentages,Easy
6,"Calculate the percentage by which B's salary is less than A's, given A's salary is 20% higher than B's.",16.67%,20%,15%,25%,A,"If B's salary is 100, A's is 120. Difference is 20. Percentage less = (20/120)*100 = 16.67%.",Percentages,Medium
7,"If A earns 20% more than B, what is the percentage by which B's earnings are less than A's?",16.67%,20%,25%,15%,A,"If B's salary is 100, A's is 120. Difference is 20. Percentage less = (20/120)*100 = 16.67%.",Percentages,Medium
8,"If A earns 20% more than B, what is the percentage by which B's earnings are less than A's?",15%,25%,20%,16.67%,A,"If B's salary is 100, A's is 120. Difference is 20. Percentage less = (20/120)*100 = 16.67%.",Percentages,Medium
9,A's salary is 20% more than B's. By what percentage is B's salary less than A's?,15%,25%,16.67%,20%,A,"If B's salary is 100, A's is 120. Difference is 20. Percentage less = (20/120)*100 = 16.67%.",Percentages,Medium
10,"If A earns 20% more than B, what is the percentage by which B's earnings are less than A's?",16.67%,15%,25%,20%,A,"If B's salary is 100, A's is 120. Difference is 20. Percentage less = (20/120)*100 = 16.67%.",Percentages,Medium
11,"Candidate A secured 75% of the valid votes in an election where 15% of 500,000 total votes were invalid. How many votes did candidate A receive?",425000,318750,281250,375000,A,Valid votes = 500000 * (100-15)/100 = 500000 * 0.85 = 425000. Votes for A = 425000 * 0.75 = 318750.,Percentages,Hard
12,"With 15% of 500,000 total votes being invalid, and candidate A winning 75% of the valid votes, determine the exact number of votes for A.",318750,425000,281250,375000,A,Valid votes = 500000 * (100-15)/100 = 500000 * 0.85 = 425000. Votes for A = 425000 * 0.75 = 318750.,Percentages,Hard
13,"In an election, candidate A got 75% of the total valid votes. If 15% of the total votes were invalid and the total votes were 500000, find the number of votes candidate A got.",318750,425000,281250,375000,A,Valid votes = 500000 * (100-15)/100 = 500000 * 0.85 = 425000. Votes for A = 425000 * 0.75 = 318750.,Percentages,Hard
14,"With 15% of 500,000 total votes being invalid, and candidate A winning 75% of the valid votes, determine the exact number of votes for A.",375000,425000,318750,281250,A,Valid votes = 500000 * (100-15)/100 = 500000 * 0.85 = 425000. Votes for A = 425000 * 0.75 = 318750.,Percentages,Hard
15,"Candidate A secured 75% of the valid votes in an election where 15% of 500,000 total votes were invalid. How many votes did candidate A receive?",281250,318750,425000,375000,A,Valid votes = 500000 * (100-15)/100 = 500000 * 0.85 = 425000. Votes for A = 425000 * 0.75 = 318750.,Percentages,Hard
16,Determine the final direction from the origin for a man who first walks 5 km East and then 3 km North.,North-West,South-East,North-East,South-West,A,Moving East and then North results in a North-East direction from the starting point.,Direction Sense,Easy
17,Determine the final direction from the origin for a man who first walks 5 km East and then 3 km North.,South-East,North-East,North-West,South-West,A,Moving East and then North results in a North-East direction from the starting point.,Direction Sense,Easy
18,Determine the final direction from the origin for a man who first walks 5 km East and then 3 km North.,North-West,South-East,South-West,North-East,A,Moving East and then North results in a North-East direction from the starting point.,Direction Sense,Easy
19,"After walking 5 km East and then 3 km North, in which direction is a man relative to his starting position?",North-West,South-West,North-East,South-East,A,Moving East and then North results in a North-East direction from the starting point.,Direction Sense,Easy
20,"A man walks 5 km East, then 3 km North. What is his final direction from the starting point?",North-West,South-West,South-East,North-East,A,Moving East and then North results in a North-East direction from the starting point.,Direction Sense,Easy
